Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.3067808151245117,2.3067808151245117,2.2927213745117188,1e-05,1e-05,0.001
1,2,0.02697896957397461,2.298269271850586,nan,nan,"1.0000e-05, device='cuda:0'",nan,0.001
1,3,0.051848649978637695,2.3001463413238525,nan,nan,"0.0012, device='cuda:0'",nan,0.001
1,4,0.07589983940124512,2.3016412258148193,nan,nan,"0.0027, device='cuda:0'",nan,0.001
1,5,0.10020899772644043,2.2917122840881348,nan,nan,"0.0047, device='cuda:0'",nan,0.001
1,6,0.12406158447265625,2.280801296234131,nan,nan,"0.0073, device='cuda:0'",nan,0.001
1,7,0.14805102348327637,2.261368989944458,nan,nan,"0.0098, device='cuda:0'",nan,0.001
1,8,0.17313218116760254,2.2353363037109375,nan,nan,"0.0127, device='cuda:0'",nan,0.001
1,9,0.19914484024047852,2.1800763607025146,nan,nan,"0.0158, device='cuda:0'",nan,0.001
1,10,0.22513699531555176,2.118608236312866,nan,nan,"0.0194, device='cuda:0'",nan,0.001
1,11,0.2509157657623291,2.0539886951446533,nan,nan,"0.0231, device='cuda:0'",nan,0.001
1,12,0.27681899070739746,1.994711995124817,nan,nan,"0.0268, device='cuda:0'",nan,0.001
1,13,0.3021364212036133,1.8661125898361206,nan,nan,"0.0312, device='cuda:0'",nan,0.001
1,14,0.328019380569458,1.706758975982666,nan,nan,"0.0356, device='cuda:0'",nan,0.001
1,15,0.3803532123565674,1.489410638809204,nan,nan,"0.0408, device='cuda:0'",nan,0.001
1,16,0.4353165626525879,1.358341097831726,nan,nan,"0.0440, device='cuda:0'",nan,0.001
1,17,0.4898402690887451,1.0460150241851807,nan,nan,"0.0488, device='cuda:0'",nan,0.001
1,18,0.5691859722137451,1.0038676261901855,nan,nan,"0.0499, device='cuda:0'",nan,0.001
1,19,0.6683063507080078,0.6798999309539795,nan,nan,"0.0504, device='cuda:0'",nan,0.001
1,20,0.7675213813781738,0.528709888458252,nan,nan,"0.0508, device='cuda:0'",nan,0.001
1,21,0.8418426513671875,0.501596212387085,nan,nan,"0.0508, device='cuda:0'",nan,0.001
1,22,0.9004817008972168,0.712867259979248,nan,nan,"0.0449, device='cuda:0'",nan,0.001
1,23,0.958043098449707,0.399921715259552,nan,nan,"0.0385, device='cuda:0'",nan,0.001
1,24,1.0180814266204834,0.5465076565742493,nan,nan,"0.0351, device='cuda:0'",nan,0.001
1,25,1.0761373043060303,0.31617453694343567,nan,nan,"0.0355, device='cuda:0'",nan,0.001
1,26,1.1335275173187256,0.7604705095291138,nan,nan,"0.0349, device='cuda:0'",nan,0.001
1,27,1.1804563999176025,0.46814483404159546,nan,nan,"0.0290, device='cuda:0'",nan,0.001
1,28,1.215834140777588,0.6961272954940796,nan,nan,"0.0240, device='cuda:0'",nan,0.001
1,29,1.2500462532043457,0.5624663233757019,nan,nan,"0.0210, device='cuda:0'",nan,0.001
1,30,1.2842366695404053,0.45816928148269653,nan,nan,"0.0174, device='cuda:0'",nan,0.001
1,31,1.3184998035430908,0.2946123778820038,nan,nan,"0.0182, device='cuda:0'",nan,0.001
1,32,1.3528649806976318,0.5034555792808533,nan,nan,"0.0189, device='cuda:0'",nan,0.001
1,33,1.3871922492980957,0.6580102443695068,nan,nan,"0.0140, device='cuda:0'",nan,0.001
1,34,1.4212594032287598,0.4770567715167999,nan,nan,"0.0117, device='cuda:0'",nan,0.001
1,35,1.4555339813232422,0.21137402951717377,nan,nan,"0.0120, device='cuda:0'",nan,0.001
1,36,1.4898803234100342,0.40923887491226196,nan,nan,"0.0126, device='cuda:0'",nan,0.001
1,37,1.5241656303405762,0.2649550139904022,nan,nan,"0.0118, device='cuda:0'",nan,0.001
1,38,1.55842924118042,0.3205980360507965,nan,nan,"0.0126, device='cuda:0'",nan,0.001
1,39,1.5925781726837158,0.3961542546749115,nan,nan,"0.0122, device='cuda:0'",nan,0.001
1,40,1.6266849040985107,0.48928630352020264,nan,nan,"0.0125, device='cuda:0'",nan,0.001
1,41,1.6612889766693115,0.5183292031288147,nan,nan,"0.0096, device='cuda:0'",nan,0.001
1,42,1.6895017623901367,0.32836776971817017,nan,nan,"0.0123, device='cuda:0'",nan,0.001
1,43,1.7166228294372559,0.39751654863357544,nan,nan,"0.0113, device='cuda:0'",nan,0.001
1,44,1.7431421279907227,0.3393971025943756,nan,nan,"0.0114, device='cuda:0'",nan,0.001
1,45,1.7697978019714355,0.5151394009590149,nan,nan,"0.0128, device='cuda:0'",nan,0.001
1,46,1.7960460186004639,0.23309901356697083,nan,nan,"0.0116, device='cuda:0'",nan,0.001
1,47,1.8224976062774658,0.32362157106399536,nan,nan,"0.0133, device='cuda:0'",nan,0.001
1,48,2.0351290702819824,0.290617972612381,0.9870011162884692,0.4527133674621582,"0.0133, device='cuda:0'","0.0221, device='cuda:0'",0.001
2,49,2.062798261642456,0.27182382345199585,nan,nan,"0.0124, device='cuda:0'",nan,0.001
2,50,2.089170217514038,0.3393703103065491,nan,nan,"0.0133, device='cuda:0'",nan,0.001
2,51,2.1164097785949707,0.20220135152339935,nan,nan,"0.0142, device='cuda:0'",nan,0.001
2,52,2.1707801818847656,0.360047847032547,nan,nan,"0.0146, device='cuda:0'",nan,0.001
2,53,2.248563289642334,0.26268821954727173,nan,nan,"0.0152, device='cuda:0'",nan,0.001
2,54,2.352236270904541,0.2998325526714325,nan,nan,"0.0127, device='cuda:0'",nan,0.001
2,55,2.4557313919067383,0.39876171946525574,nan,nan,"0.0133, device='cuda:0'",nan,0.001
2,56,2.526209592819214,0.29722490906715393,nan,nan,"0.0132, device='cuda:0'",nan,0.001
2,57,2.5840542316436768,0.23746448755264282,nan,nan,"0.0127, device='cuda:0'",nan,0.001
2,58,2.6414520740509033,0.3753984868526459,nan,nan,"0.0119, device='cuda:0'",nan,0.001
2,59,2.6994235515594482,0.21384146809577942,nan,nan,"0.0124, device='cuda:0'",nan,0.001
2,60,2.757371664047241,0.31286174058914185,nan,nan,"0.0128, device='cuda:0'",nan,0.001
2,61,2.8156330585479736,0.24063356220722198,nan,nan,"0.0108, device='cuda:0'",nan,0.001
2,62,2.8727970123291016,0.3540171682834625,nan,nan,"0.0107, device='cuda:0'",nan,0.001
2,63,2.932269811630249,0.24220862984657288,nan,nan,"0.0107, device='cuda:0'",nan,0.001
2,64,2.9893438816070557,0.25431910157203674,nan,nan,"0.0106, device='cuda:0'",nan,0.001
2,65,3.047100305557251,0.3540373742580414,nan,nan,"0.0102, device='cuda:0'",nan,0.001
2,66,3.1068472862243652,0.2906481921672821,nan,nan,"0.0103, device='cuda:0'",nan,0.001
2,67,3.164600133895874,0.2725551128387451,nan,nan,"0.0098, device='cuda:0'",nan,0.001
2,68,3.203845977783203,0.3032500445842743,nan,nan,"0.0097, device='cuda:0'",nan,0.001
2,69,3.2405037879943848,0.29283344745635986,nan,nan,"0.0095, device='cuda:0'",nan,0.001
2,70,3.277343511581421,0.37688934803009033,nan,nan,"0.0091, device='cuda:0'",nan,0.001
2,71,3.313722848892212,0.25960221886634827,nan,nan,"0.0091, device='cuda:0'",nan,0.001
2,72,3.349414825439453,0.28222543001174927,nan,nan,"0.0093, device='cuda:0'",nan,0.001
2,73,3.384875535964966,0.33847716450691223,nan,nan,"0.0103, device='cuda:0'",nan,0.001
2,74,3.421957015991211,0.3908942639827728,nan,nan,"0.0093, device='cuda:0'",nan,0.001
2,75,3.4596128463745117,0.23660103976726532,nan,nan,"0.0094, device='cuda:0'",nan,0.001
2,76,3.4961764812469482,0.34487253427505493,nan,nan,"0.0067, device='cuda:0'",nan,0.001
2,77,3.5331063270568848,0.2302602380514145,nan,nan,"0.0070, device='cuda:0'",nan,0.001
2,78,3.567722797393799,0.21432511508464813,nan,nan,"0.0067, device='cuda:0'",nan,0.001
2,79,3.6044013500213623,0.21777740120887756,nan,nan,"0.0067, device='cuda:0'",nan,0.001
2,80,3.6415724754333496,0.2159818857908249,nan,nan,"0.0069, device='cuda:0'",nan,0.001
2,81,3.675689697265625,0.2703602910041809,nan,nan,"0.0078, device='cuda:0'",nan,0.001
2,82,3.705812692642212,0.270818293094635,nan,nan,"0.0088, device='cuda:0'",nan,0.001
2,83,3.7345736026763916,0.31055498123168945,nan,nan,"0.0088, device='cuda:0'",nan,0.001
2,84,3.761625289916992,0.35004922747612,nan,nan,"0.0082, device='cuda:0'",nan,0.001
2,85,3.7907869815826416,0.23495608568191528,nan,nan,"0.0080, device='cuda:0'",nan,0.001
2,86,3.8192436695098877,0.26640889048576355,nan,nan,"0.0080, device='cuda:0'",nan,0.001
2,87,3.8463947772979736,0.21446138620376587,nan,nan,"0.0076, device='cuda:0'",nan,0.001
2,88,3.8934550285339355,0.3496241867542267,nan,nan,"0.0074, device='cuda:0'",nan,0.001
2,89,3.964451313018799,0.16543252766132355,nan,nan,"0.0072, device='cuda:0'",nan,0.001
2,90,4.035515785217285,0.168914332985878,nan,nan,"0.0074, device='cuda:0'",nan,0.001
2,91,4.106451749801636,0.26981809735298157,nan,nan,"0.0075, device='cuda:0'",nan,0.001
2,92,4.177778482437134,0.2779867947101593,nan,nan,"0.0070, device='cuda:0'",nan,0.001
2,93,4.234963893890381,0.24771085381507874,nan,nan,"0.0077, device='cuda:0'",nan,0.001
2,94,4.29161262512207,0.2082432359457016,nan,nan,"0.0071, device='cuda:0'",nan,0.001
2,95,4.7233500480651855,0.2032690942287445,0.27856456313995603,0.3290291900634766,"0.0075, device='cuda:0'","0.0097, device='cuda:0'",0.001
3,96,4.7644126415252686,0.20709650218486786,nan,nan,"0.0068, device='cuda:0'",nan,0.001
3,97,4.803241491317749,0.29972773790359497,nan,nan,"0.0060, device='cuda:0'",nan,0.001
3,98,4.8423333168029785,0.29415464401245117,nan,nan,"0.0066, device='cuda:0'",nan,0.001
3,99,4.881519794464111,0.2768499255180359,nan,nan,"0.0061, device='cuda:0'",nan,0.001
3,100,4.920662879943848,0.29006528854370117,nan,nan,"0.0057, device='cuda:0'",nan,0.001
3,101,4.959962844848633,0.16065050661563873,nan,nan,"0.0049, device='cuda:0'",nan,0.001
3,102,4.998572587966919,0.21238698065280914,nan,nan,"0.0049, device='cuda:0'",nan,0.001
3,103,5.037508249282837,0.15548822283744812,nan,nan,"0.0054, device='cuda:0'",nan,0.001
3,104,5.0766377449035645,0.14999227225780487,nan,nan,"0.0058, device='cuda:0'",nan,0.001
3,105,5.11572790145874,0.18988598883152008,nan,nan,"0.0053, device='cuda:0'",nan,0.001
3,106,5.154985189437866,0.21085640788078308,nan,nan,"0.0052, device='cuda:0'",nan,0.001
3,107,5.186065196990967,0.24750789999961853,nan,nan,"0.0049, device='cuda:0'",nan,0.001
3,108,5.214670896530151,0.1359207183122635,nan,nan,"0.0048, device='cuda:0'",nan,0.001
3,109,5.242167234420776,0.32265958189964294,nan,nan,"0.0045, device='cuda:0'",nan,0.001
3,110,5.269534587860107,0.1746925264596939,nan,nan,"0.0047, device='cuda:0'",nan,0.001
3,111,5.296823024749756,0.2203555852174759,nan,nan,"0.0044, device='cuda:0'",nan,0.001
3,112,5.32405161857605,0.2905990481376648,nan,nan,"0.0047, device='cuda:0'",nan,0.001
3,113,5.351468086242676,0.16938671469688416,nan,nan,"0.0046, device='cuda:0'",nan,0.001
3,114,5.379016160964966,0.21544165909290314,nan,nan,"0.0048, device='cuda:0'",nan,0.001
