Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.2230894565582275,2.2230894565582275,2.3226714935302732,1e-05,1e-05,1e-06
1,2,0.022520780563354492,2.376302480697632,nan,nan,1e-05,nan,1e-06
1,3,0.04709458351135254,2.2586610317230225,nan,nan,0.0002,nan,1e-06
1,4,0.07212042808532715,2.149846315383911,nan,nan,0.0003,nan,1e-06
1,5,0.09652018547058105,2.1237268447875977,nan,nan,0.0004,nan,1e-06
1,6,0.12113070487976074,2.2222700119018555,nan,nan,0.0006,nan,1e-06
1,7,0.1462104320526123,2.092813491821289,nan,nan,0.0007,nan,1e-06
1,8,0.17080330848693848,2.0531091690063477,nan,nan,0.0008,nan,1e-06
1,9,0.19489717483520508,1.9426531791687012,nan,nan,0.0009,nan,1e-06
1,10,0.21954703330993652,1.7212538719177246,nan,nan,0.0010,nan,1e-06
1,11,0.24344396591186523,1.667673110961914,nan,nan,0.0011,nan,1e-06
1,12,0.2679295539855957,1.5013431310653687,nan,nan,0.0012,nan,1e-06
1,13,0.29183268547058105,1.4655601978302002,nan,nan,0.0013,nan,1e-06
1,14,0.31626462936401367,1.2578550577163696,nan,nan,0.0014,nan,1e-06
1,15,0.3400421142578125,1.2214813232421875,nan,nan,0.0014,nan,1e-06
1,16,0.36454343795776367,1.2433034181594849,nan,nan,0.0015,nan,1e-06
1,17,0.3879108428955078,1.1897847652435303,nan,nan,0.0015,nan,1e-06
1,18,0.4125697612762451,0.9672726988792419,nan,nan,0.0016,nan,1e-06
1,19,0.4371919631958008,1.0074009895324707,nan,nan,0.0016,nan,1e-06
1,20,0.4617476463317871,0.9912351965904236,nan,nan,0.0016,nan,1e-06
1,21,0.48644232749938965,0.871481716632843,nan,nan,0.0016,nan,1e-06
1,22,0.5104560852050781,0.7922384738922119,nan,nan,0.0017,nan,1e-06
1,23,0.5351872444152832,0.8302868008613586,nan,nan,0.0017,nan,1e-06
1,24,0.5590693950653076,0.7135589718818665,nan,nan,0.0017,nan,1e-06
1,25,0.5835714340209961,0.8548101186752319,nan,nan,0.0017,nan,1e-06
1,26,0.60750412940979,0.7068445682525635,nan,nan,0.0017,nan,1e-06
1,27,0.6320033073425293,0.6134222745895386,nan,nan,0.0017,nan,1e-06
1,28,0.6557855606079102,0.6734604239463806,nan,nan,0.0018,nan,1e-06
1,29,0.6801760196685791,0.7351458668708801,nan,nan,0.0018,nan,1e-06
1,30,0.7040362358093262,0.576915442943573,nan,nan,0.0018,nan,1e-06
1,31,0.7286217212677002,0.6349478363990784,nan,nan,0.0018,nan,1e-06
1,32,0.7522058486938477,0.6402102112770081,nan,nan,0.0018,nan,1e-06
1,33,0.7771151065826416,0.6724715828895569,nan,nan,0.0018,nan,1e-06
1,34,0.800687313079834,0.588932454586029,nan,nan,0.0018,nan,1e-06
1,35,0.8253698348999023,0.5314617156982422,nan,nan,0.0018,nan,1e-06
1,36,0.8490383625030518,0.5077003240585327,nan,nan,0.0018,nan,1e-06
1,37,0.8740067481994629,0.4756256341934204,nan,nan,0.0018,nan,1e-06
1,38,0.8995640277862549,0.4277767539024353,nan,nan,0.0018,nan,1e-06
1,39,0.9243025779724121,0.5531579256057739,nan,nan,0.0018,nan,1e-06
1,40,0.9514820575714111,0.5365030765533447,nan,nan,0.0018,nan,1e-06
1,41,0.9770128726959229,0.5409577488899231,nan,nan,0.0018,nan,1e-06
1,42,1.0020084381103516,0.4323103129863739,nan,nan,0.0018,nan,1e-06
1,43,1.0268621444702148,0.3443169891834259,nan,nan,0.0018,nan,1e-06
1,44,1.0516629219055176,0.42902445793151855,nan,nan,0.0018,nan,1e-06
1,45,1.0755043029785156,0.3771844208240509,nan,nan,0.0018,nan,1e-06
1,46,1.1003708839416504,0.4663859009742737,nan,nan,0.0018,nan,1e-06
1,47,1.1242032051086426,0.43299782276153564,nan,nan,0.0018,nan,1e-06
1,48,1.3066253662109375,0.4697888195514679,1.018797126222164,0.5242214050292969,0.0018,0.0015,1e-06
2,49,1.3293166160583496,0.4723188579082489,nan,nan,0.0018,nan,1e-06
2,50,1.3541665077209473,0.3869968354701996,nan,nan,0.0019,nan,1e-06
2,51,1.378227710723877,0.4112851023674011,nan,nan,0.0019,nan,1e-06
2,52,1.4030675888061523,0.37634938955307007,nan,nan,0.0019,nan,1e-06
2,53,1.4271059036254883,0.36537253856658936,nan,nan,0.0019,nan,1e-06
2,54,1.4517035484313965,0.4337436854839325,nan,nan,0.0019,nan,1e-06
2,55,1.4756834506988525,0.4075915813446045,nan,nan,0.0019,nan,1e-06
2,56,1.5003993511199951,0.38470152020454407,nan,nan,0.0019,nan,1e-06
2,57,1.5241947174072266,0.46790018677711487,nan,nan,0.0019,nan,1e-06
2,58,1.5491859912872314,0.45756465196609497,nan,nan,0.0019,nan,1e-06
2,59,1.5730876922607422,0.3957614302635193,nan,nan,0.0019,nan,1e-06
2,60,1.5977530479431152,0.3947371244430542,nan,nan,0.0019,nan,1e-06
2,61,1.6222171783447266,0.4652143716812134,nan,nan,0.0019,nan,1e-06
2,62,1.6468381881713867,0.3654375672340393,nan,nan,0.0019,nan,1e-06
2,63,1.671173095703125,0.3927372395992279,nan,nan,0.0019,nan,1e-06
2,64,1.6958017349243164,0.43026596307754517,nan,nan,0.0019,nan,1e-06
2,65,1.719834804534912,0.34255707263946533,nan,nan,0.0019,nan,1e-06
2,66,1.7448456287384033,0.57291579246521,nan,nan,0.0019,nan,1e-06
2,67,1.7690629959106445,0.34541192650794983,nan,nan,0.0019,nan,1e-06
2,68,1.7938952445983887,0.2884027361869812,nan,nan,0.0019,nan,1e-06
2,69,1.818286657333374,0.4827783703804016,nan,nan,0.0019,nan,1e-06
2,70,1.8430821895599365,0.29379189014434814,nan,nan,0.0019,nan,1e-06
2,71,1.8671047687530518,0.5793716907501221,nan,nan,0.0019,nan,1e-06
2,72,1.8919613361358643,0.4399169385433197,nan,nan,0.0019,nan,1e-06
2,73,1.915856122970581,0.39259278774261475,nan,nan,0.0019,nan,1e-06
2,74,1.9409637451171875,0.32076263427734375,nan,nan,0.0019,nan,1e-06
2,75,1.9648981094360352,0.46501994132995605,nan,nan,0.0019,nan,1e-06
2,76,1.9896130561828613,0.5027422904968262,nan,nan,0.0019,nan,1e-06
2,77,2.01373553276062,0.3477327227592468,nan,nan,0.0019,nan,1e-06
2,78,2.0394952297210693,0.3828721344470978,nan,nan,0.0019,nan,1e-06
2,79,2.0660853385925293,0.4074917733669281,nan,nan,0.0019,nan,1e-06
2,80,2.0906054973602295,0.30447715520858765,nan,nan,0.0019,nan,1e-06
2,81,2.1145999431610107,0.4830988645553589,nan,nan,0.0019,nan,1e-06
2,82,2.139174461364746,0.33025211095809937,nan,nan,0.0019,nan,1e-06
2,83,2.163132429122925,0.3053430914878845,nan,nan,0.0019,nan,1e-06
2,84,2.188046455383301,0.3201126754283905,nan,nan,0.0019,nan,1e-06
2,85,2.2118122577667236,0.3909577429294586,nan,nan,0.0019,nan,1e-06
2,86,2.237053632736206,0.33938324451446533,nan,nan,0.0019,nan,1e-06
2,87,2.261188507080078,0.3918699324131012,nan,nan,0.0019,nan,1e-06
2,88,2.285855531692505,0.27881333231925964,nan,nan,0.0019,nan,1e-06
2,89,2.309990882873535,0.28744202852249146,nan,nan,0.0019,nan,1e-06
2,90,2.3345768451690674,0.37292739748954773,nan,nan,0.0019,nan,1e-06
2,91,2.3589894771575928,0.30967235565185547,nan,nan,0.0019,nan,1e-06
2,92,2.3839144706726074,0.39917585253715515,nan,nan,0.0019,nan,1e-06
2,93,2.4078261852264404,0.31085190176963806,nan,nan,0.0019,nan,1e-06
2,94,2.432610034942627,0.4196678102016449,nan,nan,0.0019,nan,1e-06
2,95,2.6145646572113037,0.2525418996810913,0.3887005562477924,0.42728903579711913,0.0019,0.0019,1e-06
3,96,2.637256145477295,0.38276228308677673,nan,nan,0.0019,nan,1e-06
3,97,2.6620032787323,0.47228744626045227,nan,nan,0.0019,nan,1e-06
3,98,2.6870357990264893,0.2789589762687683,nan,nan,0.0019,nan,1e-06
3,99,2.7108733654022217,0.3300001621246338,nan,nan,0.0019,nan,1e-06
3,100,2.735492467880249,0.4510519802570343,nan,nan,0.0019,nan,1e-06
3,101,2.7593636512756348,0.36651596426963806,nan,nan,0.0019,nan,1e-06
3,102,2.784055233001709,0.2788914442062378,nan,nan,0.0019,nan,1e-06
3,103,2.8086962699890137,0.28900110721588135,nan,nan,0.0019,nan,1e-06
3,104,2.833733081817627,0.2677500247955322,nan,nan,0.0019,nan,1e-06
3,105,2.857513189315796,0.3277178406715393,nan,nan,0.0019,nan,1e-06
3,106,2.8822150230407715,0.35228431224823,nan,nan,0.0019,nan,1e-06
3,107,2.9066081047058105,0.33823901414871216,nan,nan,0.0019,nan,1e-06
3,108,2.931368350982666,0.2539186477661133,nan,nan,0.0019,nan,1e-06
3,109,2.9546456336975098,0.41988831758499146,nan,nan,0.0019,nan,1e-06
3,110,2.9791457653045654,0.3353451192378998,nan,nan,0.0019,nan,1e-06
3,111,3.003004312515259,0.25550559163093567,nan,nan,0.0019,nan,1e-06
3,112,3.027444362640381,0.25929754972457886,nan,nan,0.0019,nan,1e-06
3,113,3.051278591156006,0.34980031847953796,nan,nan,0.0019,nan,1e-06
3,114,3.075958490371704,0.29183316230773926,nan,nan,0.0019,nan,1e-06
3,115,3.099564552307129,0.32326555252075195,nan,nan,0.0019,nan,1e-06
3,116,3.128765821456909,0.21059894561767578,nan,nan,0.0019,nan,1e-06
3,117,3.153672933578491,0.4336695075035095,nan,nan,0.0019,nan,1e-06
3,118,3.179053783416748,0.38532403111457825,nan,nan,0.0019,nan,1e-06
3,119,3.2049574851989746,0.30062443017959595,nan,nan,0.0019,nan,1e-06
3,120,3.229585647583008,0.24536234140396118,nan,nan,0.0019,nan,1e-06
3,121,3.2532408237457275,0.37110045552253723,nan,nan,0.0019,nan,1e-06
3,122,3.2781856060028076,0.34418973326683044,nan,nan,0.0019,nan,1e-06
3,123,3.3019540309906006,0.19929322600364685,nan,nan,0.0019,nan,1e-06
3,124,3.3263392448425293,0.3003126382827759,nan,nan,0.0019,nan,1e-06
3,125,3.350813627243042,0.43799465894699097,nan,nan,0.0019,nan,1e-06
3,126,3.375166654586792,0.2978379726409912,nan,nan,0.0019,nan,1e-06
3,127,3.3980863094329834,0.24992752075195312,nan,nan,0.0019,nan,1e-06
3,128,3.4229934215545654,0.1955304592847824,nan,nan,0.0019,nan,1e-06
3,129,3.446765899658203,0.3780437111854553,nan,nan,0.0019,nan,1e-06
3,130,3.4711530208587646,0.19918985664844513,nan,nan,0.0019,nan,1e-06
3,131,3.4948809146881104,0.4352818727493286,nan,nan,0.0019,nan,1e-06
3,132,3.519228219985962,0.2526801526546478,nan,nan,0.0019,nan,1e-06
3,133,3.5430431365966797,0.22916710376739502,nan,nan,0.0019,nan,1e-06
3,134,3.567595958709717,0.33691301941871643,nan,nan,0.0019,nan,1e-06
3,135,3.5915253162384033,0.45699676871299744,nan,nan,0.0019,nan,1e-06
3,136,3.6160380840301514,0.3184781074523926,nan,nan,0.0019,nan,1e-06
3,137,3.639878273010254,0.29295122623443604,nan,nan,0.0019,nan,1e-06
3,138,3.664421796798706,0.3798278272151947,nan,nan,0.0019,nan,1e-06
3,139,3.6879210472106934,0.2694842219352722,nan,nan,0.0019,nan,1e-06
3,140,3.7122695446014404,0.33146029710769653,nan,nan,0.0019,nan,1e-06
3,141,3.7357640266418457,0.3068491220474243,nan,nan,0.0019,nan,1e-06
3,142,3.914696455001831,0.4475950598716736,0.3240638102622742,0.4002884407043457,0.0019,0.0019,1e-06
4,143,3.9376583099365234,0.21317315101623535,nan,nan,0.0019,nan,1e-06
4,144,3.962278366088867,0.29094770550727844,nan,nan,0.0019,nan,1e-06
4,145,3.9861984252929688,0.26290616393089294,nan,nan,0.0019,nan,1e-06
4,146,4.010525226593018,0.2419280707836151,nan,nan,0.0019,nan,1e-06
4,147,4.0357985496521,0.4537537395954132,nan,nan,0.0019,nan,1e-06
4,148,4.060822486877441,0.3420049250125885,nan,nan,0.0019,nan,1e-06
4,149,4.083129644393921,0.29572594165802,nan,nan,0.0019,nan,1e-06
4,150,4.107712268829346,0.2285134345293045,nan,nan,0.0019,nan,1e-06
4,151,4.135479211807251,0.2960323989391327,nan,nan,0.0019,nan,1e-06
4,152,4.160094261169434,0.3843938112258911,nan,nan,0.0019,nan,1e-06
4,153,4.184490203857422,0.3492377996444702,nan,nan,0.0019,nan,1e-06
4,154,4.209515810012817,0.22054868936538696,nan,nan,0.0019,nan,1e-06
4,155,4.233380317687988,0.3052351474761963,nan,nan,0.0019,nan,1e-06
4,156,4.258254528045654,0.32079899311065674,nan,nan,0.0019,nan,1e-06
4,157,4.282583951950073,0.41262388229370117,nan,nan,0.0019,nan,1e-06
4,158,4.307971239089966,0.3058786392211914,nan,nan,0.0019,nan,1e-06
4,159,4.33221435546875,0.30131879448890686,nan,nan,0.0019,nan,1e-06
4,160,4.357134819030762,0.2475639432668686,nan,nan,0.0019,nan,1e-06
4,161,4.3803136348724365,0.24498704075813293,nan,nan,0.0019,nan,1e-06
4,162,4.405109167098999,0.4015108346939087,nan,nan,0.0019,nan,1e-06
4,163,4.427178382873535,0.25885093212127686,nan,nan,0.0019,nan,1e-06
4,164,4.451519250869751,0.19543543457984924,nan,nan,0.0019,nan,1e-06
4,165,4.474816799163818,0.2348264455795288,nan,nan,0.0019,nan,1e-06
4,166,4.49959659576416,0.2876702845096588,nan,nan,0.0019,nan,1e-06
4,167,4.523088693618774,0.23979634046554565,nan,nan,0.0019,nan,1e-06
4,168,4.54780387878418,0.3131408095359802,nan,nan,0.0019,nan,1e-06
4,169,4.570250749588013,0.25513559579849243,nan,nan,0.0019,nan,1e-06
4,170,4.5946879386901855,0.25741931796073914,nan,nan,0.0019,nan,1e-06
4,171,4.617421388626099,0.4004218876361847,nan,nan,0.0019,nan,1e-06
4,172,4.641993522644043,0.3219328224658966,nan,nan,0.0019,nan,1e-06
4,173,4.664451837539673,0.21556012332439423,nan,nan,0.0019,nan,1e-06
4,174,4.689642667770386,0.25673818588256836,nan,nan,0.0019,nan,1e-06
4,175,4.714342832565308,0.29322537779808044,nan,nan,0.0019,nan,1e-06
