Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.2976233959198,2.2976233959198,2.307150390625,1e-05,1e-05,0.001
1,2,0.04749655723571777,2.2957301139831543,nan,nan,1.0000e-05,nan,0.001
1,3,0.09380221366882324,2.3092191219329834,nan,nan,4.6726e-05,nan,0.001
1,4,0.14202427864074707,2.30214786529541,nan,nan,8.6647e-05,nan,0.001
1,5,0.18735218048095703,2.305859088897705,nan,nan,0.0002,nan,0.001
1,6,0.23238158226013184,2.3074092864990234,nan,nan,0.0002,nan,0.001
1,7,0.27768826484680176,2.3070011138916016,nan,nan,0.0003,nan,0.001
1,8,0.32319092750549316,2.3225436210632324,nan,nan,0.0004,nan,0.001
1,9,0.3681526184082031,2.305999279022217,nan,nan,0.0006,nan,0.001
1,10,0.41350603103637695,2.308635950088501,nan,nan,0.0008,nan,0.001
1,11,0.4596278667449951,2.313213348388672,nan,nan,0.0009,nan,0.001
1,12,0.504490852355957,2.3038599491119385,nan,nan,0.0011,nan,0.001
1,13,0.5503456592559814,2.307161808013916,nan,nan,0.0013,nan,0.001
1,14,0.6017348766326904,2.325925827026367,nan,nan,0.0015,nan,0.001
1,15,0.6496012210845947,2.300224781036377,nan,nan,0.0017,nan,0.001
1,16,0.701582670211792,2.301938056945801,nan,nan,0.0019,nan,0.001
1,17,0.749854326248169,2.3098204135894775,nan,nan,0.0021,nan,0.001
1,18,0.8013718128204346,2.2789087295532227,nan,nan,0.0022,nan,0.001
1,19,0.8480703830718994,2.2960145473480225,nan,nan,0.0025,nan,0.001
1,20,0.8974955081939697,2.3010916709899902,nan,nan,0.0026,nan,0.001
1,21,0.943505048751831,2.287928342819214,nan,nan,0.0028,nan,0.001
1,22,0.9944093227386475,2.294295072555542,nan,nan,0.0030,nan,0.001
1,23,1.0422890186309814,2.3012754917144775,nan,nan,0.0032,nan,0.001
1,24,1.093705177307129,2.289658546447754,nan,nan,0.0034,nan,0.001
1,25,1.1422243118286133,2.297053813934326,nan,nan,0.0036,nan,0.001
1,26,1.1938269138336182,2.309536933898926,nan,nan,0.0038,nan,0.001
1,27,1.2418720722198486,2.2770168781280518,nan,nan,0.0039,nan,0.001
1,28,1.2931222915649414,2.297877788543701,nan,nan,0.0041,nan,0.001
1,29,1.3401994705200195,2.2978429794311523,nan,nan,0.0043,nan,0.001
1,30,1.3918020725250244,2.29978346824646,nan,nan,0.0046,nan,0.001
1,31,1.4397046566009521,2.2902591228485107,nan,nan,0.0048,nan,0.001
1,32,1.4909982681274414,2.2909035682678223,nan,nan,0.0050,nan,0.001
1,33,1.538691520690918,2.2840116024017334,nan,nan,0.0052,nan,0.001
1,34,1.5892975330352783,2.2852773666381836,nan,nan,0.0055,nan,0.001
1,35,1.6365084648132324,2.2903354167938232,nan,nan,0.0058,nan,0.001
1,36,1.6875028610229492,2.2762351036071777,nan,nan,0.0061,nan,0.001
1,37,1.7351255416870117,2.2829699516296387,nan,nan,0.0063,nan,0.001
1,38,1.788555383682251,2.2883670330047607,nan,nan,0.0066,nan,0.001
1,39,1.8358631134033203,2.2833828926086426,nan,nan,0.0070,nan,0.001
1,40,1.8872015476226807,2.280763626098633,nan,nan,0.0074,nan,0.001
1,41,1.9387922286987305,2.2677009105682373,nan,nan,0.0078,nan,0.001
1,42,1.9901866912841797,2.2786104679107666,nan,nan,0.0082,nan,0.001
1,43,2.0392708778381348,2.28173565864563,nan,nan,0.0087,nan,0.001
1,44,2.090406656265259,2.268648147583008,nan,nan,0.0092,nan,0.001
1,45,2.138361930847168,2.259395122528076,nan,nan,0.0096,nan,0.001
1,46,2.187896251678467,2.2501602172851562,nan,nan,0.0103,nan,0.001
1,47,2.2366316318511963,2.2526047229766846,nan,nan,0.0108,nan,0.001
1,48,2.52522611618042,2.2390294075012207,2.2916034941977643,2.247514923095703,0.0115,0.0041,0.001
2,49,2.5738677978515625,2.2412502765655518,nan,nan,0.0122,nan,0.001
2,50,2.625565528869629,2.224994421005249,nan,nan,0.0130,nan,0.001
2,51,2.6760363578796387,2.2197532653808594,nan,nan,0.0138,nan,0.001
2,52,2.728965997695923,2.208271026611328,nan,nan,0.0148,nan,0.001
2,53,2.7755355834960938,2.1824898719787598,nan,nan,0.0159,nan,0.001
2,54,2.827847719192505,2.1718945503234863,nan,nan,0.0171,nan,0.001
2,55,2.8742356300354004,2.15623140335083,nan,nan,0.0186,nan,0.001
2,56,2.925907850265503,2.107347249984741,nan,nan,0.0206,nan,0.001
2,57,2.9718236923217773,2.069748640060425,nan,nan,0.0225,nan,0.001
2,58,3.0229153633117676,1.969331979751587,nan,nan,0.0258,nan,0.001
2,59,3.068848133087158,1.981612205505371,nan,nan,0.0283,nan,0.001
2,60,3.119751453399658,1.878528118133545,nan,nan,0.0314,nan,0.001
2,61,3.165440797805786,1.6729116439819336,nan,nan,0.0357,nan,0.001
2,62,3.216594696044922,1.3763632774353027,nan,nan,0.0363,nan,0.001
2,63,3.2621288299560547,1.311387062072754,nan,nan,0.0165,nan,0.001
2,64,3.313652515411377,1.5020440816879272,nan,nan,-0.0399,nan,0.001
2,65,3.3601183891296387,17.95338249206543,nan,nan,0.4468,nan,0.001
2,66,3.4106833934783936,3.875445604324341,nan,nan,0.4313,nan,0.001
2,67,3.456199884414673,2.3960647583007812,nan,nan,0.4308,nan,0.001
2,68,3.50626802444458,2.332589864730835,nan,nan,0.4303,nan,0.001
2,69,3.551764726638794,2.7619075775146484,nan,nan,0.4278,nan,0.001
2,70,3.6023406982421875,2.4316604137420654,nan,nan,0.4273,nan,0.001
2,71,3.648003101348877,2.3878352642059326,nan,nan,0.4268,nan,0.001
2,72,3.698935031890869,2.5071356296539307,nan,nan,0.4262,nan,0.001
2,73,3.744284152984619,2.4809443950653076,nan,nan,0.4257,nan,0.001
2,74,3.794677972793579,2.387547254562378,nan,nan,0.4253,nan,0.001
2,75,3.8395192623138428,2.570268154144287,nan,nan,0.4249,nan,0.001
2,76,3.889782190322876,2.331648588180542,nan,nan,0.4245,nan,0.001
2,77,3.9417436122894287,2.35432767868042,nan,nan,0.4242,nan,0.001
2,78,3.9942820072174072,2.3553853034973145,nan,nan,0.4239,nan,0.001
2,79,4.039690256118774,2.3465282917022705,nan,nan,0.4236,nan,0.001
2,80,4.090295791625977,2.3114025592803955,nan,nan,0.4233,nan,0.001
2,81,4.135565519332886,2.352442979812622,nan,nan,0.4230,nan,0.001
2,82,4.186723470687866,2.352782964706421,nan,nan,0.4227,nan,0.001
2,83,4.23202109336853,2.3478572368621826,nan,nan,0.4225,nan,0.001
2,84,4.282351970672607,2.3521742820739746,nan,nan,0.4222,nan,0.001
2,85,4.331001281738281,2.310671091079712,nan,nan,0.4221,nan,0.001
2,86,4.381517648696899,2.2867486476898193,nan,nan,0.4219,nan,0.001
2,87,4.426741361618042,2.3150267601013184,nan,nan,0.4217,nan,0.001
2,88,4.477122068405151,2.3216733932495117,nan,nan,0.4215,nan,0.001
2,89,4.525755167007446,2.29565691947937,nan,nan,0.4214,nan,0.001
2,90,4.5758514404296875,2.301879405975342,nan,nan,0.4213,nan,0.001
2,91,4.624051332473755,2.3164052963256836,nan,nan,0.4211,nan,0.001
2,92,4.67121148109436,2.3101515769958496,nan,nan,0.4210,nan,0.001
2,93,4.719646692276001,2.324212074279785,nan,nan,0.4210,nan,0.001
2,94,4.767335891723633,2.320319652557373,nan,nan,0.4209,nan,0.001
2,95,5.053802251815796,2.306623935699463,2.593039555752531,2.302937515258789,0.4208,0.2862,0.001
3,96,5.10313868522644,2.2999470233917236,nan,nan,0.4208,nan,0.001
3,97,5.152924537658691,2.297727346420288,nan,nan,0.4207,nan,0.001
3,98,5.200863361358643,2.3131682872772217,nan,nan,0.4206,nan,0.001
3,99,5.2518579959869385,2.3036141395568848,nan,nan,0.4206,nan,0.001
3,100,5.299152374267578,2.3242714405059814,nan,nan,0.4206,nan,0.001
3,101,5.3518712520599365,2.2958920001983643,nan,nan,0.4205,nan,0.001
3,102,5.399172782897949,2.309190034866333,nan,nan,0.4205,nan,0.001
3,103,5.450933933258057,2.3115346431732178,nan,nan,0.4205,nan,0.001
3,104,5.498783826828003,2.2863259315490723,nan,nan,0.4205,nan,0.001
3,105,5.550124883651733,2.3029959201812744,nan,nan,0.4204,nan,0.001
3,106,5.598179578781128,2.3191988468170166,nan,nan,0.4204,nan,0.001
3,107,5.6493330001831055,2.295240640640259,nan,nan,0.4204,nan,0.001
3,108,5.696254253387451,2.309614658355713,nan,nan,0.4204,nan,0.001
3,109,5.7472264766693115,2.312626838684082,nan,nan,0.4204,nan,0.001
3,110,5.794560194015503,2.3160388469696045,nan,nan,0.4204,nan,0.001
3,111,5.845188617706299,2.318880319595337,nan,nan,0.4204,nan,0.001
3,112,5.891784429550171,2.302915096282959,nan,nan,0.4203,nan,0.001
3,113,5.946133852005005,2.3211147785186768,nan,nan,0.4203,nan,0.001
3,114,5.993732690811157,2.2945315837860107,nan,nan,0.4203,nan,0.001
3,115,6.045350551605225,2.3020286560058594,nan,nan,0.4203,nan,0.001
3,116,6.092673063278198,2.2993528842926025,nan,nan,0.4203,nan,0.001
3,117,6.143614292144775,2.304478883743286,nan,nan,0.4203,nan,0.001
3,118,6.19126296043396,2.3162362575531006,nan,nan,0.4203,nan,0.001
3,119,6.2418131828308105,2.3087730407714844,nan,nan,0.4203,nan,0.001
3,120,6.288813352584839,2.290787696838379,nan,nan,0.4203,nan,0.001
3,121,6.338999509811401,2.3105432987213135,nan,nan,0.4203,nan,0.001
3,122,6.386393785476685,2.3033506870269775,nan,nan,0.4203,nan,0.001
3,123,6.4377992153167725,2.302741765975952,nan,nan,0.4203,nan,0.001
3,124,6.485816478729248,2.296043872833252,nan,nan,0.4203,nan,0.001
3,125,6.536936521530151,2.307267904281616,nan,nan,0.4203,nan,0.001
3,126,6.584040641784668,2.3039324283599854,nan,nan,0.4203,nan,0.001
3,127,6.634956359863281,2.306648015975952,nan,nan,0.4203,nan,0.001
3,128,6.68291163444519,2.295858144760132,nan,nan,0.4203,nan,0.001
3,129,6.73559308052063,2.27642560005188,nan,nan,0.4203,nan,0.001
3,130,6.782316446304321,2.324894666671753,nan,nan,0.4203,nan,0.001
3,131,6.833612442016602,2.307591676712036,nan,nan,0.4203,nan,0.001
3,132,6.882001876831055,2.313556671142578,nan,nan,0.4203,nan,0.001
3,133,6.933960676193237,2.312833070755005,nan,nan,0.4204,nan,0.001
3,134,6.981559991836548,2.292876720428467,nan,nan,0.4204,nan,0.001
3,135,7.032887697219849,2.314298629760742,nan,nan,0.4204,nan,0.001
3,136,7.079767227172852,2.3021957874298096,nan,nan,0.4204,nan,0.001
3,137,7.13182806968689,2.3129682540893555,nan,nan,0.4204,nan,0.001
3,138,7.1787426471710205,2.3136074542999268,nan,nan,0.4204,nan,0.001
3,139,7.229634046554565,2.3024938106536865,nan,nan,0.4204,nan,0.001
3,140,7.277469635009766,2.3057973384857178,nan,nan,0.4204,nan,0.001
3,141,7.32880711555481,2.3207690715789795,nan,nan,0.4204,nan,0.001
3,142,7.6101298332214355,2.3122668266296387,2.3062861168638187,2.303504165649414,0.4204,0.4204,0.001
4,143,7.6560704708099365,2.2982568740844727,nan,nan,0.4204,nan,0.001
4,144,7.70704197883606,2.3030996322631836,nan,nan,0.4204,nan,0.001
4,145,7.754870653152466,2.311948299407959,nan,nan,0.4204,nan,0.001
4,146,7.804486989974976,2.3084371089935303,nan,nan,0.4204,nan,0.001
4,147,7.8558313846588135,2.316760540008545,nan,nan,0.4204,nan,0.001
4,148,7.906484842300415,2.3132481575012207,nan,nan,0.4204,nan,0.001
4,149,7.961672306060791,2.304241180419922,nan,nan,0.4204,nan,0.001
4,150,8.00838851928711,2.2958123683929443,nan,nan,0.4204,nan,0.001
4,151,8.056564331054688,2.301194667816162,nan,nan,0.4204,nan,0.001
4,152,8.104003190994263,2.323518991470337,nan,nan,0.4204,nan,0.001
4,153,8.154204845428467,2.3102176189422607,nan,nan,0.4205,nan,0.001
4,154,8.201128005981445,2.30167555809021,nan,nan,0.4205,nan,0.001
4,155,8.251665115356445,2.3049724102020264,nan,nan,0.4205,nan,0.001
4,156,8.298686742782593,2.30690336227417,nan,nan,0.4205,nan,0.001
4,157,8.34980034828186,2.3029747009277344,nan,nan,0.4205,nan,0.001
4,158,8.39855694770813,2.3073511123657227,nan,nan,0.4205,nan,0.001
4,159,8.448770761489868,2.3078315258026123,nan,nan,0.4205,nan,0.001
4,160,8.493865489959717,2.295520544052124,nan,nan,0.4205,nan,0.001
4,161,8.544583559036255,2.307234764099121,nan,nan,0.4205,nan,0.001
4,162,8.59152626991272,2.315627336502075,nan,nan,0.4205,nan,0.001
4,163,8.644317626953125,2.3108444213867188,nan,nan,0.4205,nan,0.001
4,164,8.691960334777832,2.2967209815979004,nan,nan,0.4205,nan,0.001
4,165,8.740903615951538,2.3025851249694824,nan,nan,0.4205,nan,0.001
4,166,8.788554191589355,2.3243846893310547,nan,nan,0.4205,nan,0.001
4,167,8.836890697479248,2.30356764793396,nan,nan,0.4205,nan,0.001
4,168,8.884035110473633,2.2987728118896484,nan,nan,0.4205,nan,0.001
4,169,8.93546748161316,2.3046419620513916,nan,nan,0.4206,nan,0.001
4,170,8.9830482006073,2.300177574157715,nan,nan,0.4205,nan,0.001
4,171,9.031241178512573,2.314382791519165,nan,nan,0.4205,nan,0.001
4,172,9.078686475753784,2.310746669769287,nan,nan,0.4206,nan,0.001
4,173,9.127319574356079,2.2996909618377686,nan,nan,0.4206,nan,0.001
4,174,9.174850225448608,2.305860757827759,nan,nan,0.4206,nan,0.001
4,175,9.223167896270752,2.3037381172180176,nan,nan,0.4206,nan,0.001
4,176,9.270223617553711,2.3013088703155518,nan,nan,0.4206,nan,0.001
4,177,9.3218412399292,2.2975707054138184,nan,nan,0.4206,nan,0.001
4,178,9.369570016860962,2.2932324409484863,nan,nan,0.4206,nan,0.001
4,179,9.420733451843262,2.3009121417999268,nan,nan,0.4206,nan,0.001
4,180,9.467666864395142,2.32596755027771,nan,nan,0.4206,nan,0.001
4,181,9.517686367034912,2.3024792671203613,nan,nan,0.4206,nan,0.001
4,182,9.565569877624512,2.3030943870544434,nan,nan,0.4206,nan,0.001
4,183,9.614169120788574,2.2899112701416016,nan,nan,0.4206,nan,0.001
4,184,9.664732933044434,2.298509359359741,nan,nan,0.4206,nan,0.001
4,185,9.716553449630737,2.3039426803588867,nan,nan,0.4206,nan,0.001
4,186,9.769491195678711,2.2889935970306396,nan,nan,0.4207,nan,0.001
4,187,9.819810390472412,2.2939908504486084,nan,nan,0.4207,nan,0.001
4,188,9.866569519042969,2.315967082977295,nan,nan,0.4207,nan,0.001
4,189,10.145601749420166,2.294628381729126,2.304754252129413,2.3045081634521485,0.4207,0.4205,0.001
5,190,10.19056487083435,2.315964460372925,nan,nan,0.4207,nan,0.001
5,191,10.240557432174683,2.2991418838500977,nan,nan,0.4207,nan,0.001
5,192,10.287352323532104,2.320507526397705,nan,nan,0.4207,nan,0.001
5,193,10.337782859802246,2.3105063438415527,nan,nan,0.4207,nan,0.001
5,194,10.385737419128418,2.302551507949829,nan,nan,0.4207,nan,0.001
5,195,10.436076164245605,2.2875771522521973,nan,nan,0.4207,nan,0.001
5,196,10.48456621170044,2.31817364692688,nan,nan,0.4207,nan,0.001
5,197,10.534717321395874,2.287902355194092,nan,nan,0.4207,nan,0.001
5,198,10.582808256149292,2.312053918838501,nan,nan,0.4207,nan,0.001
5,199,10.633001804351807,2.3110101222991943,nan,nan,0.4207,nan,0.001
5,200,10.680911540985107,2.339808464050293,nan,nan,0.4207,nan,0.001
5,201,10.731414318084717,2.3009769916534424,nan,nan,0.4207,nan,0.001
5,202,10.77981185913086,2.3058419227600098,nan,nan,0.4207,nan,0.001
5,203,10.830485582351685,2.3079075813293457,nan,nan,0.4207,nan,0.001
5,204,10.877889156341553,2.3068535327911377,nan,nan,0.4208,nan,0.001
5,205,10.926646709442139,2.2879397869110107,nan,nan,0.4208,nan,0.001
5,206,10.975078821182251,2.308622121810913,nan,nan,0.4208,nan,0.001
5,207,11.025271654129028,2.31846284866333,nan,nan,0.4208,nan,0.001
5,208,11.072670459747314,2.3000097274780273,nan,nan,0.4208,nan,0.001
5,209,11.123061180114746,2.3082849979400635,nan,nan,0.4208,nan,0.001
5,210,11.170240879058838,2.3062922954559326,nan,nan,0.4208,nan,0.001
5,211,11.220653772354126,2.3042991161346436,nan,nan,0.4208,nan,0.001
5,212,11.267699956893921,2.309406042098999,nan,nan,0.4208,nan,0.001
5,213,11.31798267364502,2.3256659507751465,nan,nan,0.4208,nan,0.001
5,214,11.364995002746582,2.3003311157226562,nan,nan,0.4208,nan,0.001
5,215,11.415847778320312,2.318859100341797,nan,nan,0.4208,nan,0.001
5,216,11.46396517753601,2.312711477279663,nan,nan,0.4208,nan,0.001
5,217,11.512744665145874,2.2977349758148193,nan,nan,0.4208,nan,0.001
5,218,11.560028791427612,2.300743579864502,nan,nan,0.4208,nan,0.001
5,219,11.610660552978516,2.3165571689605713,nan,nan,0.4208,nan,0.001
5,220,11.655678033828735,2.314560890197754,nan,nan,0.4208,nan,0.001
5,221,11.706822395324707,2.3018076419830322,nan,nan,0.4208,nan,0.001
5,222,11.752658605575562,2.2926642894744873,nan,nan,0.4209,nan,0.001
5,223,11.810070753097534,2.3017256259918213,nan,nan,0.4209,nan,0.001
5,224,11.85793924331665,2.295734167098999,nan,nan,0.4209,nan,0.001
5,225,11.905687808990479,2.302274465560913,nan,nan,0.4209,nan,0.001
5,226,11.960623979568481,2.291985273361206,nan,nan,0.4209,nan,0.001
5,227,12.00716257095337,2.3219411373138428,nan,nan,0.4209,nan,0.001
5,228,12.055553674697876,2.295781373977661,nan,nan,0.4209,nan,0.001
5,229,12.103287696838379,2.3069770336151123,nan,nan,0.4209,nan,0.001
5,230,12.155328512191772,2.2837870121002197,nan,nan,0.4209,nan,0.001
5,231,12.203773975372314,2.3059515953063965,nan,nan,0.4209,nan,0.001
5,232,12.254096984863281,2.309469699859619,nan,nan,0.4209,nan,0.001
